order_id,order_date,customer_id,customer_node_id,depot_id,agent_id,depot_lat,depot_lon,customer_lat,customer_lon,customer_name,observed_eta_min,rating,area,node_order_count,direct_depot_customer_km,is_distance_outlier,is_routing_eligible
0xcdcd,2022-02-12,0xcdcd,NODE-0001,DEPOT-001,DEHRES17DEL01,30.327968,78.046106,30.397968,78.116106,Customer 0001,46,4.2,Metropolitian,4,10.280582064621875,False,True
0xd987,2022-02-13,0xd987,NODE-0002,DEPOT-002,KOCRES16DEL01,10.003064,76.307589,10.043064,76.347589,Customer 0002,23,4.7,Metropolitian,4,6.242318682701243,False,True
0x2784,2022-03-04,0x2784,NODE-0003,DEPOT-003,PUNERES13DEL03,18.56245,73.916619,18.65245,74.006619,Customer 0003,21,4.7,Metropolitian,13,13.787860239172547,False,True
0xc8b6,2022-02-13,0xc8b6,NODE-0004,DEPOT-004,LUDHRES15DEL02,30.899584,75.809346,30.919584,75.829346,Customer 0004,20,4.3,Metropolitian,4,2.9302578007621216,False,True
0xdb64,2022-02-14,0xdb64,NODE-0005,DEPOT-005,KNPRES14DEL02,26.463504,80.372929,26.593504,80.502929,Customer 0005,41,4.7,Metropolitian,4,19.39661829066159,False,True
0x3af3,2022-04-02,0x3af3,NODE-0006,DEPOT-006,MUMRES15DEL03,19.176269,72.836721,19.266269,72.926721,Customer 0006,20,4.5,Metropolitian,18,13.763977224427641,False,True
0x3aab,2022-03-01,0x3aab,NODE-0007,DEPOT-007,MYSRES01DEL01,12.311072,76.654878,12.351072,76.694878,Customer 0007,33,4.0,Metropolitian,12,6.21800119018663,False,True
0x689b,2022-03-16,0x689b,NODE-0008,DEPOT-008,PUNERES20DEL01,18.592718,73.773572,18.702718,73.883572,Customer 0008,40,4.2,Metropolitian,14,16.849939918016496,False,True
0x6f67,2022-03-20,0x6f67,NODE-0009,DEPOT-009,HYDRES14DEL01,17.426228,78.407495,17.496228,78.477495,Customer 0009,41,4.9,Metropolitian,17,10.75710880025813,False,True
0xc9cf,2022-02-15,0xc9cf,NODE-0010,DEPOT-010,KOLRES15DEL03,22.552672,88.352885,22.582672,88.382885,Customer 0010,15,4.7,Urban,4,4.5405743887312955,False,True
0x36b8,2022-03-16,0x36b8,NODE-0011,DEPOT-011,PUNERES19DEL02,18.563934,73.915367,18.643935,73.995367,Customer 0011,36,4.1,Metropolitian,17,12.256076445468295,False,True
0x5795,2022-03-10,0x5795,NODE-0012,DEPOT-012,RANCHIRES06DEL02,23.357804,85.325146,23.487804,85.455146,Customer 0012,26,4.7,Metropolitian,14,19.618739348801018,False,True
0x6c6b,2022-03-11,0x6c6b,NODE-0013,DEPOT-013,COIMBRES13DEL01,11.003669,76.976494,11.013669,76.986494,Customer 0013,20,5.0,Metropolitian,15,1.5581322655568652,False,True
0xb816,2022-03-27,0xb816,NODE-0014,DEPOT-014,CHENRES19DEL02,12.986047,80.218114,13.116047,80.348114,Customer 0014,39,4.3,Metropolitian,16,20.180635114114718,False,True
0x539b,2022-03-26,0x539b,NODE-0015,DEPOT-015,MUMRES02DEL01,19.221315,72.862381,19.261315,72.902381,Customer 0015,34,4.0,Metropolitian,14,6.116971669682334,False,True
0xa1b2,2022-03-27,0xa1b2,NODE-0016,DEPOT-016,CHENRES01DEL01,13.005801,80.250744,13.115801,80.360744,Customer 0016,15,4.5,Metropolitian,13,17.07559440107296,False,True
0x3231,2022-04-05,0x3231,NODE-0017,DEPOT-017,JAPRES16DEL03,26.849596,75.800512,26.879596,75.830512,Customer 0017,18,5.0,Urban,16,4.470286489434607,False,True
0x8bc0,2022-03-12,0x8bc0,NODE-0018,DEPOT-018,SURRES15DEL03,21.160522,72.771477,21.250522,72.861477,Customer 0018,38,4.3,Metropolitian,18,13.68204452608078,False,True
