order_id,order_date,customer_id,customer_node_id,depot_id,agent_id,agent_age,depot_lat,depot_lon,customer_lat,customer_lon,customer_name,observed_eta_min,rating,area,node_order_count,direct_depot_customer_km,is_distance_outlier,is_routing_eligible
ialx566343618,2022-03-19,ialx566343618,NODE-0001,DEPOT-001,AGENT-DEPOT-001-AGE-37,37,22.745049,75.892471,22.765049,75.912471,Customer 0001,120,4.9,Urban ,13,3.0251492856775037,False,True
akqg208421122,2022-03-25,akqg208421122,NODE-0002,DEPOT-002,AGENT-DEPOT-002-AGE-34,34,12.913041,77.683237,13.043041,77.813237,Customer 0002,165,4.5,Metropolitian ,14,20.183529728733618,False,True
njpu434582536,2022-03-19,njpu434582536,NODE-0003,DEPOT-003,AGENT-DEPOT-003-AGE-23,23,12.914264,77.6784,12.924264,77.6884,Customer 0003,130,4.4,Urban ,13,1.5527578022548725,False,True
rjto796129700,2022-04-05,rjto796129700,NODE-0004,DEPOT-004,AGENT-DEPOT-004-AGE-38,38,11.003669,76.976494,11.053669,77.026494,Customer 0004,105,4.7,Metropolitian ,16,7.790401360105752,False,True
zguw716275638,2022-03-26,zguw716275638,NODE-0005,DEPOT-005,AGENT-DEPOT-005-AGE-32,32,12.972793,80.249982,13.012793,80.289982,Customer 0005,150,4.6,Metropolitian ,13,6.2101379656240985,False,True
fxuu788413734,2022-03-11,fxuu788413734,NODE-0006,DEPOT-006,AGENT-DEPOT-006-AGE-22,22,17.431668,78.408321,17.461668,78.438321,Customer 0006,130,4.8,Urban ,12,4.610365144357059,False,True
njmo150975311,2022-03-04,njmo150975311,NODE-0007,DEPOT-007,AGENT-DEPOT-007-AGE-33,33,23.369746,85.33982,23.479746,85.44982,Customer 0007,200,4.7,Metropolitian ,14,16.600361127912656,False,True
jvjc772545076,2022-03-14,jvjc772545076,NODE-0008,DEPOT-008,AGENT-DEPOT-008-AGE-35,35,12.352058,76.60665,12.482058,76.73665,Customer 0008,160,4.6,Metropolitian ,11,20.20525323529291,False,True
uaeb808891380,2022-03-20,uaeb808891380,NODE-0009,DEPOT-009,AGENT-DEPOT-009-AGE-22,22,17.433809,78.386744,17.563809,78.516744,Customer 0009,170,4.8,Metropolitian ,13,19.975520086221444,False,True
bgvc052754213,2022-02-12,bgvc052754213,NODE-0010,DEPOT-010,AGENT-DEPOT-010-AGE-36,36,30.327968,78.046106,30.397968,78.116106,Customer 0010,230,4.2,Metropolitian ,4,10.280582064621875,False,True
vmau710398846,2022-02-13,vmau710398846,NODE-0011,DEPOT-011,AGENT-DEPOT-011-AGE-21,21,10.003064,76.307589,10.043064,76.347589,Customer 0011,115,4.7,Metropolitian ,4,6.242318682701243,False,True
lcwn330553507,2022-03-04,lcwn330553507,NODE-0012,DEPOT-012,AGENT-DEPOT-012-AGE-23,23,18.56245,73.916619,18.65245,74.006619,Customer 0012,105,4.7,Metropolitian ,12,13.787860239172547,False,True
wcjs752046999,2022-02-13,wcjs752046999,NODE-0013,DEPOT-013,AGENT-DEPOT-013-AGE-34,34,30.899584,75.809346,30.919584,75.829346,Customer 0013,100,4.3,Metropolitian ,4,2.9302578007621216,False,True
blhl288691670,2022-02-14,blhl288691670,NODE-0014,DEPOT-014,AGENT-DEPOT-014-AGE-24,24,26.463504,80.372929,26.593504,80.502929,Customer 0014,205,4.7,Metropolitian ,4,19.39661829066159,False,True
zyvo118176215,2022-04-02,zyvo118176215,NODE-0015,DEPOT-015,AGENT-DEPOT-015-AGE-29,29,19.176269,72.836721,19.266269,72.926721,Customer 0015,100,4.5,Metropolitian ,18,13.763977224427641,False,True
uhfs888375680,2022-03-01,uhfs888375680,NODE-0016,DEPOT-016,AGENT-DEPOT-016-AGE-35,35,12.311072,76.654878,12.351072,76.694878,Customer 0016,33,4.0,Metropolitian ,11,6.21800119018663,False,True
vmfv999642595,2022-03-16,vmfv999642595,NODE-0017,DEPOT-017,AGENT-DEPOT-017-AGE-33,33,18.592718,73.773572,18.702718,73.883572,Customer 0017,200,4.2,Metropolitian ,14,16.849939918016496,False,True
qfgc848777135,2022-03-20,qfgc848777135,NODE-0018,DEPOT-018,AGENT-DEPOT-018-AGE-34,34,17.426228,78.407495,17.496228,78.477495,Customer 0018,205,4.9,Metropolitian ,15,10.75710880025813,False,True
vwmc439983136,2022-02-15,vwmc439983136,NODE-0019,DEPOT-019,AGENT-DEPOT-019-AGE-21,21,22.552672,88.352885,22.582672,88.382885,Customer 0019,75,4.7,Urban ,4,4.5405743887312955,False,True
ntzy027061451,2022-03-16,ntzy027061451,NODE-0020,DEPOT-020,AGENT-DEPOT-020-AGE-25,25,18.563934,73.915367,18.643935,73.995367,Customer 0020,180,4.1,Metropolitian ,17,12.256076445468295,False,True
